İLAN ADI;MAHALLE;FİYAT;NET(m²);BRÜT(m²);ODA-SALON SAYISI;ODA SAYISI;SALON SAYISI;BANYO SAYISI;FOTOĞRAF SAYISI
Caddebostan Bağdat Caddesi 1. Paralel 2 Araçlık Otopark 4+1;Caddebostan;8.500.000;145;180;4+1;4;1;2;22
TURYAP TAN ORTABAHAR DA 3+1 SATILIK DAİRE;Merdivenköy;2.750.000;95;130;3+1;3;1;1;31
MTS PRIME EMLAK-ÖZGÜRLÜK PARKINA YAKIN-YENİLENMİŞ;Feneryolu;4.995.000;195;235;4+1;4;1;3;13
Dinamik'ten Göztepe'de Güvenlik'li Havuzlu Geniş 3+1;Göztepe;5.500.000;115;145;3+1;3;1;2;31
Dinamik'ten Merdivenköy'de Minibüse 2.Bina Park Manzaralı 3+1;Merdivenköy;3.100.000;120;150;3+1;3;1;2;16
Göztepe'de Yeni; Aydınlık;2750000;84;109;3+1;3;1;1;24
Suadiye'de Deniz Manzaralı Teraslı Dubleks Daire;Suadiye;6.950.000;180;225;4+2;4;2;3;26
Fenerbahçe Deniz - Marina ve Doğa Manzaralı Yüzme Havuzlu;Fenerbahçe;43.750.000;420;550;4+2;4;2;4;5
KOZYATAĞI KOZZY KOMŞUSU SIFIR EBEVEYNLİ 135M2 3+1;Kozyatağı;4.100.000;96;135;3+1;3;1;2;21
SUADİYE BAĞDAT CADDESİNE 3.BİNADA SİTE ÖZELLİKLİ 210 M2 DAİRE;Suadiye;7.000.000;187;210;4+1;4;1;2;
